build_table,build_table_column,regnskap_no_concept_id,note
anleggsmidler_rollforward,asset_class,regnskap-no:KlassifiseringAvAnleggsmidlerAxis,
anleggsmidler_rollforward,anskaffelseskost_01_01,regnskap-no:AnleggsmiddelAnskaffelseskost,
anleggsmidler_rollforward,tilgang,regnskap-no:AnleggsmiddelAretsTilgang,
anleggsmidler_rollforward,avgang,regnskap-no:AnleggsmiddelAretsAvgang,
anleggsmidler_rollforward,anskaffelseskost_31_12,regnskap-no:AnleggsmiddelAnskaffelseskost,
anleggsmidler_rollforward,akk_avskrivninger,regnskap-no:AnleggsmiddelAkkumulerteAvskrivninger,
anleggsmidler_rollforward,balansefort_31_12,regnskap-no:AnleggsmiddelBalansefortVerdi,
anleggsmidler_rollforward,arets_avskrivninger,regnskap-no:AnleggsmiddelAretsAvskrivning,
anleggsmidler_rollforward_konsern,asset_class,regnskap-no:KlassifiseringAvAnleggsmidlerAxis,
anleggsmidler_rollforward_konsern,anskaffelseskost_01_01,regnskap-no:AnleggsmiddelAnskaffelseskost,
anleggsmidler_rollforward_konsern,tilgang,regnskap-no:AnleggsmiddelAretsTilgang,
anleggsmidler_rollforward_konsern,avgang,regnskap-no:AnleggsmiddelAretsAvgang,
anleggsmidler_rollforward_konsern,anskaffelseskost_31_12,regnskap-no:AnleggsmiddelAnskaffelseskost,
anleggsmidler_rollforward_konsern,akk_avskrivninger,regnskap-no:AnleggsmiddelAkkumulerteAvskrivninger,
anleggsmidler_rollforward_konsern,balansefort_31_12,regnskap-no:AnleggsmiddelBalansefortVerdi,
anleggsmidler_rollforward_konsern,arets_avskrivninger,regnskap-no:AnleggsmiddelAretsAvskrivning,
bankinnskudd_bundne,bankinnskudd_total,regnskap-no:BankinnskuddTotal,
bankinnskudd_bundne,kassekreditt,regnskap-no:Kassekreditt,
bankinnskudd_bundne,bundne_skattetrekksmidler,regnskap-no:BundneSkattetrekksmidler,
bankinnskudd_bundne,skyldig_skattetrekk,regnskap-no:SkyldigSkattetrekk,
bankinnskudd_bundne,ubenyttet_trekkrettigheter,regnskap-no:UbenytteteTrekkrettigheter,
bankinnskudd_bundne,driftskonto_saldo,regnskap-no:DriftskontoSaldo,
bankinnskudd_bundne,sperret_av_skatteetaten,regnskap-no:SperretAvSkatteetaten,
bankinnskudd_bundne_konsern,bankinnskudd_total,regnskap-no:BankinnskuddTotal,
bankinnskudd_bundne_konsern,kassekreditt,regnskap-no:Kassekreditt,
bankinnskudd_bundne_konsern,bundne_skattetrekksmidler,regnskap-no:BundneSkattetrekksmidler,
bankinnskudd_bundne_konsern,skyldig_skattetrekk,regnskap-no:SkyldigSkattetrekk,
bankinnskudd_bundne_konsern,ubenyttet_trekkrettigheter,regnskap-no:UbenytteteTrekkrettigheter,
bankinnskudd_bundne_konsern,driftskonto_saldo,regnskap-no:DriftskontoSaldo,
bankinnskudd_bundne_konsern,sperret_av_skatteetaten,regnskap-no:SperretAvSkatteetaten,
driftsinntekter,dimension,regnskap-no:Salgsinntekt,
driftsinntekter,category,regnskap-no:Salgsinntekt,
driftsinntekter,amount,regnskap-no:Salgsinntekt,
driftsinntekter_konsern,dimension,regnskap-no:Salgsinntekt,
driftsinntekter_konsern,category,regnskap-no:Salgsinntekt,
driftsinntekter_konsern,amount,regnskap-no:Salgsinntekt,
egenkapital_rollforward,event,regnskap-no:EgenkapitalEndringAxis,
egenkapital_rollforward,ek_component,regnskap-no:EgenkapitalKomponentAxis,
egenkapital_rollforward,value,regnskap-no:EgenkapitalRollforwardBelop,
egenkapital_rollforward_konsern,event,regnskap-no:EgenkapitalEndringAxis,
egenkapital_rollforward_konsern,ek_component,regnskap-no:EgenkapitalKomponentAxis,
egenkapital_rollforward_konsern,value,regnskap-no:EgenkapitalRollforwardBelop,
egenkapital_summary,sum_egenkapital,regnskap-no:Egenkapital,
egenkapital_summary,aksjekapital,regnskap-no:Aksjekapital,
egenkapital_summary,udekket_tap,regnskap-no:UdekketTap,
egenkapital_summary,kapitalforhoyelse_pending,regnskap-no:Aksjekapital,
egenkapital_summary,egenkapital_negativ,regnskap-no:Egenkapital,
egenkapital_summary,paragraf_3_5_trigger,regnskap-no:FortsattDriftForutsetning,
egenkapital_summary_konsern,sum_egenkapital,regnskap-no:Egenkapital,
egenkapital_summary_konsern,aksjekapital,regnskap-no:Aksjekapital,
egenkapital_summary_konsern,udekket_tap,regnskap-no:UdekketTap,
egenkapital_summary_konsern,kapitalforhoyelse_pending,regnskap-no:Aksjekapital,
egenkapital_summary_konsern,egenkapital_negativ,regnskap-no:Egenkapital,
egenkapital_summary_konsern,paragraf_3_5_trigger,regnskap-no:FortsattDriftForutsetning,
engangsposter,event_type,regnskap-no:EngangspostBeskrivelse,
engangsposter,amount,regnskap-no:EngangspostBelop,
engangsposter,narrative,regnskap-no:EngangspostBeskrivelse,
garantier,avsatt_garanti,regnskap-no:GarantiansvarTotaltBelop,
garantier_konsern,avsatt_garanti,regnskap-no:GarantiansvarTotaltBelop,
gjeld_pant,gjeld_5y_plus_kreditt_inst,regnskap-no:Gjeld5arPlus,
gjeld_pant,gjeld_5y_plus_total,regnskap-no:Gjeld5arPlus,
gjeld_pant,gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant,langsiktig_gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant,kortsiktig_gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant,garantiforpliktelser,regnskap-no:GarantiansvarTotaltBelop,
gjeld_pant_konsern,gjeld_5y_plus_kreditt_inst,regnskap-no:Gjeld5arPlus,
gjeld_pant_konsern,gjeld_5y_plus_total,regnskap-no:Gjeld5arPlus,
gjeld_pant_konsern,gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant_konsern,langsiktig_gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant_konsern,kortsiktig_gjeld_sikret_pant,regnskap-no:GjeldSikretMedPant,
gjeld_pant_konsern,garantiforpliktelser,regnskap-no:GarantiansvarTotaltBelop,
godtgjorelse_ledende,role,regnskap-no:GodtgjorelseDagligLeder,
godtgjorelse_ledende,lonn_bonuser,regnskap-no:GodtgjorelseDagligLeder,
godtgjorelse_ledende,annen_godtgjorelse,regnskap-no:GodtgjorelseDagligLeder,
godtgjorelse_ledende,sum,regnskap-no:GodtgjorelseDagligLeder,
going_concern,usikkerhet_fortsatt_drift,regnskap-no:FortsattDriftForutsetning,
going_concern,egenkapital_tapt,regnskap-no:UdekketTap,
going_concern,eier_kapitaltilforsel_lovet,regnskap-no:Aksjekapital,
going_concern,narrative,regnskap-no:FortsattDriftBeskrivelse,
going_concern,oppbud_decision,regnskap-no:FortsattDriftBeskrivelse,
intern_transaksjoner,fordringer_gjeld,regnskap-no:InternFordringerGjeld,
intern_transaksjoner,salgsinntekter_varekostnad,regnskap-no:InternSalgsinntekterVarekostnad,
intern_transaksjoner_konsern,fordringer_gjeld,regnskap-no:InternFordringerGjeld,
intern_transaksjoner_konsern,salgsinntekter_varekostnad,regnskap-no:InternSalgsinntekterVarekostnad,
investeringer_datter,datterselskap_navn,regnskap-no:DatterselskapNavn,
investeringer_datter,sted,regnskap-no:DatterselskapForretningskontor,
investeringer_datter,eierandel_pct,regnskap-no:DatterselskapEierandel,
investeringer_datter,balansefort_verdi,regnskap-no:InvesteringerIDatterselskap,
investeringer_datter,andel_aarsresultat,regnskap-no:InvesteringerIDatterselskap,
investeringer_datter,andel_egenkapital,regnskap-no:InvesteringerIDatterselskap,
investeringer_datter,navn,regnskap-no:DatterselskapNavn,
investeringer_datter,forretningskontor,regnskap-no:DatterselskapForretningskontor,
investeringer_datter,aksjekapital,regnskap-no:Aksjekapital,
investeringer_datter,antall_aksjer,regnskap-no:AksjekapitalAntallAksjer,
investeringer_datter,balansefort_kostpris,regnskap-no:InvesteringerIDatterselskap,
investeringer_datter,egenkapital,regnskap-no:Egenkapital,
investeringer_datter,arsresultat,regnskap-no:Aarsresultat,
investeringer_datter,narrative,regnskap-no:DatterselskapNavn,
kontingente_forpliktelser,court,regnskap-no:KontingentForpliktelseDomstol,
kontingente_forpliktelser,amount_nok,regnskap-no:KontingentForpliktelseBelop,
kontingente_forpliktelser,appealed,regnskap-no:KontingentForpliktelseAnket,
kontingente_forpliktelser,narrative,regnskap-no:KontingentForpliktelseBeskrivelse,
kreditor_pant,kreditor,regnskap-no:GjeldSikretMedPant,
kreditor_pant,pant_amount,regnskap-no:BokfortVerdiPantsattEiendel,
kreditor_pant,pant_purpose,regnskap-no:GjeldSikretMedPant,
kreditor_pant,regressansvar,regnskap-no:KontingentForpliktelseBelop,
kreditor_pant,narrative,regnskap-no:GjeldSikretMedPant,
lan_til_ledende_summary,has_lan_til_ledende,regnskap-no:LanTilLedendePersoner,
lan_til_ledende_summary,total_lan_amount,regnskap-no:LanTilLedendePersoner,
lan_til_ledende_summary,role,regnskap-no:LanTilLedendePersoner,
lan_til_ledende_summary,narrative,regnskap-no:LanTilLedendePersoner,
lawsuit,court,regnskap-no:KontingentForpliktelseDomstol,
lawsuit,amount_nok,regnskap-no:KontingentForpliktelseBelop,
lawsuit,appealed,regnskap-no:KontingentForpliktelseAnket,
lawsuit,narrative,regnskap-no:Lawsuit,
lonn_ytelser,lonninger,regnskap-no:Lonninger,
lonn_ytelser,arbeidsgiveravgift,regnskap-no:Folketrygdavgift,
lonn_ytelser,pensjonskostnader,regnskap-no:LonnskostnadPensjon,
lonn_ytelser,andre_ytelser,regnskap-no:LonnskostnadAndreYtelser,
lonn_ytelser,sum_lonnskostnader,regnskap-no:Lonnskostnad,
lonn_ytelser,arsverk,regnskap-no:Arsverk,
lonn_ytelser_konsern,lonninger,regnskap-no:Lonninger,
lonn_ytelser_konsern,arbeidsgiveravgift,regnskap-no:Folketrygdavgift,
lonn_ytelser_konsern,pensjonskostnader,regnskap-no:LonnskostnadPensjon,
lonn_ytelser_konsern,andre_ytelser,regnskap-no:LonnskostnadAndreYtelser,
lonn_ytelser_konsern,sum_lonnskostnader,regnskap-no:Lonnskostnad,
